PROVINCIA,CANTON,DISTRITO,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,REGION
SAN JOSÉ,PÉREZ ZELEDÓN,BARÚ,11909,2393,49.82,391,2800,189.08,14.81,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,RÍO NUEVO,11910,3061,42.35,449,3403,240.1,14.17,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,PÁRAMO,11911,4410,47.45,407,4782,206.89,23.11,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,LA AMISTAD,11912,2863,51.37,371,2863,1753.0,1.63,BRUNCA
SAN JOSÉ,LEÓN CORTÉS CASTRO,SAN PABLO,12001,4209,56.49,309,4423,20.93,211.32,CENTRAL
SAN JOSÉ,LEÓN CORTÉS CASTRO,SAN ANDRÉS,12002,1578,44.25,436,1656,15.95,103.82,CENTRAL
SAN JOSÉ,LEÓN CORTÉS CASTRO,LLANO BONITO,12003,2111,40.08,458,2170,33.79,64.22,CENTRAL
SAN JOSÉ,LEÓN CORTÉS CASTRO,SAN ISIDRO,12004,1531,44.86,433,1751,18.68,93.74,CENTRAL
SAN JOSÉ,LEÓN CORTÉS CASTRO,SANTA CRUZ,12005,1665,48.23,400,2007,21.47,93.48,CENTRAL
SAN JOSÉ,LEÓN CORTÉS CASTRO,SAN ANTONIO,12006,1106,56.14,316,1185,9.98,118.74,CENTRAL
ALAJUELA,ALAJUELA,ALAJUELA,20101,42975,77.82,75,47255,8.88,5321.51,CENTRAL
ALAJUELA,ALAJUELA,SAN JOSÉ,20102,41656,70.72,153,48491,14.57,3328.14,CENTRAL
ALAJUELA,ALAJUELA,CARRIZAL,20103,6856,64.38,228,8188,15.9,514.97,CENTRAL
ALAJUELA,ALAJUELA,SAN ANTONIO,20104,24971,72.32,131,29004,8.68,3341.47,CENTRAL
ALAJUELA,ALAJUELA,GUÁCIMA,20105,20183,69.79,162,24172,27.92,865.76,CENTRAL
ALAJUELA,ALAJUELA,SAN ISIDRO,20106,17294,63.57,233,20587,35.87,573.93,CENTRAL
ALAJUELA,ALAJUELA,SABANILLA,20107,9059,61.8,259,11183,43.32,258.15,CENTRAL
ALAJUELA,ALAJUELA,SAN RAFAEL,20108,26248,69.03,174,31365,19.24,1630.2,CENTRAL
ALAJUELA,ALAJUELA,RÍO SEGUNDO,20109,10794,66.65,205,12517,5.37,2330.91,CENTRAL
ALAJUELA,ALAJUELA,DESAMPARADOS,20110,26109,68.56,181,30755,12.72,2417.85,CENTRAL
ALAJUELA,ALAJUELA,TURRÚCARES,20111,7630,68.71,179,8893,35.94,247.44,CENTRAL
ALAJUELA,ALAJUELA,TAMBOR,20112,10992,68.03,192,13032,13.71,950.55,CENTRAL
ALAJUELA,ALAJUELA,GARITA,20113,7277,73.48,116,8768,33.41,262.44,CENTRAL
ALAJUELA,ALAJUELA,SARAPIQUÍ,20114,2842,56.08,318,3669,112.9,32.5,HUETAR NORTE
ALAJUELA,SAN RAMÓN,SAN RAMÓN,20201,8717,89.08,18,9039,1.29,7006.98,CENTRAL
ALAJUELA,SAN RAMÓN,SANTIAGO,20202,4535,61.21,263,5208,60.19,86.53,CENTRAL
ALAJUELA,SAN RAMÓN,SAN JUAN,20203,11695,75.89,93,12494,5.07,2464.3,CENTRAL
ALAJUELA,SAN RAMÓN,PIEDADES NORTE,20204,8147,72.71,125,8927,45.99,194.11,CENTRAL
ALAJUELA,SAN RAMÓN,PIEDADES SUR,20205,3738,59.06,289,4293,116.45,36.87,CENTRAL
ALAJUELA,SAN RAMÓN,SAN RAFAEL,20206,9321,70.88,150,10155,30.83,329.39,CENTRAL
ALAJUELA,SAN RAMÓN,SAN ISIDRO,20207,4478,72.18,133,5499,8.59,640.16,CENTRAL
ALAJUELA,SAN RAMÓN,LOS ÁNGELES,20208,8500,60.44,270,9186,385.21,23.85,CENTRAL
ALAJUELA,SAN RAMÓN,ALFARO,20209,7137,73.52,115,7814,17.49,446.77,CENTRAL
ALAJUELA,SAN RAMÓN,VOLIO,20210,2270,56.3,311,2539,20.91,121.43,CENTRAL
ALAJUELA,SAN RAMÓN,CONCEPCIÓN,20211,2348,64.98,219,2673,9.0,297.0,CENTRAL
ALAJUELA,SAN RAMÓN,ZAPOTAL,20212,391,46.22,417,489,67.72,7.22,CENTRAL
ALAJUELA,SAN RAMÓN,PEÑAS BLANCAS,20213,9289,57.91,298,11385,249.9,45.56,HUETAR NORTE
ALAJUELA,GRECIA,GRECIA,20301,14859,76.65,85,15889,6.86,2316.18,CENTRAL
ALAJUELA,GRECIA,SAN ISIDRO,20302,5949,70.9,149,6766,18.09,374.02,CENTRAL
ALAJUELA,GRECIA,SAN JOSÉ,20303,8100,73.05,119,9399,12.42,756.76,CENTRAL
ALAJUELA,GRECIA,SAN ROQUE,20304,11132,74.95,96,12662,26.14,484.39,CENTRAL
ALAJUELA,GRECIA,TACARES,20305,7963,71.07,145,9235,24.84,371.78,CENTRAL
